index,build,test_index,SIZE,NTHREADS,y_RX-RATE-PPS,y_RX-RATE-MBPS,y_LOSE-RATE,y_AVG-LAT,y_RX-GOODPUT-GBPS-PKTGEN,y_GOODRATEPC,run_index
78,DPA CRC,26,128,254,17751360.0,21017.6078312,0.78019465200821,0.0,21.0,21.980534799178997,0
79,DPA CRC,26,128,254,17753163.0,21019.7442856,0.78012008713957,0.0,21.0,21.987991286042995,1
80,DPA CRC,26,128,254,17752129.0,21018.5189192,0.77927842857404,0.0,21.0,22.072157142596005,2
81,DPA CRC,27,256,254,9112145.0,20119.614068,0.79629413084241,0.0,20.0,20.370586915759002,0
82,DPA CRC,27,256,254,9112300.0,20119.9556936,0.79627251413461,0.0,20.0,20.372748586539004,1
83,DPA CRC,27,256,254,9105408.0,20104.7385512,0.79623989768117,0.0,20.0,20.376010231883,2
84,DPA CRC,28,512,254,4575269.0,19472.3398664,0.80152971464406,0.0,19.0,19.847028535594003,0
85,DPA CRC,28,512,254,4573684.0,19465.5955576,0.80143134642763,0.0,19.0,19.856865357236998,1
86,DPA CRC,28,512,254,4577919.0,19483.6226216,0.80123211242745,0.0,19.0,19.876788757255003,2
87,DPA CRC,29,1024,254,2266528.0,18930.0427208,0.80801513910712,0.0,19.0,19.198486089288004,0
88,DPA CRC,29,1024,254,2266436.0,18929.2757128,0.80802065855178,0.0,19.0,19.197934144822003,1
89,DPA CRC,29,1024,254,2266687.0,18931.364596,0.80799182696415,0.0,19.0,19.200817303585005,2
90,DPA IPLOOKUP 1K,0,64,16,70600.0,47.4439144,0.99933567818061,0.0,,0.06643218193900235,0
91,DPA IPLOOKUP 1K,0,64,16,70664.0,47.486644,0.99934524262027,0.0,,0.06547573797299755,1
92,DPA IPLOOKUP 1K,0,64,16,70666.0,47.4877192,0.99934682485909,0.0,,0.06531751409100117,2
93,DPA IPLOOKUP 1K,1,128,16,70658.0,83.6590072,0.99914336494284,0.0,,0.0856635057160049,0
94,DPA IPLOOKUP 1K,1,128,16,70662.0,83.6640264,0.99914334921556,0.0,,0.08566507844399718,1
95,DPA IPLOOKUP 1K,1,128,16,70665.0,83.6681672,0.99914348713164,0.0,,0.0856512868359971,2
96,DPA IPLOOKUP 1K,2,256,16,70661.0,156.0189544,0.99842166163948,0.0,,0.15783383605200152,0
97,DPA IPLOOKUP 1K,2,256,16,70662.0,156.0224872,0.99842166755071,0.0,,0.15783324492899542,1
98,DPA IPLOOKUP 1K,2,256,16,70661.0,156.0194536,0.99842166627492,0.0,,0.15783337250799834,2
99,DPA IPLOOKUP 1K,3,512,16,70661.0,300.7325096,0.99693705211533,0.0,,0.30629478846699865,0
100,DPA IPLOOKUP 1K,3,512,16,70666.0,300.753364,0.99693696879747,0.0,,0.3063031202530042,1
101,DPA IPLOOKUP 1K,3,512,16,70663.0,300.7397448,0.99693688250801,0.0,,0.3063117491989953,2
102,DPA IPLOOKUP 1K,4,1024,16,70648.0,590.0529448,0.99402207124323,0.0,,0.5977928756769946,0
103,DPA IPLOOKUP 1K,4,1024,16,70651.0,590.0793928,0.99402209138696,0.0,,0.5977908613040039,1
104,DPA IPLOOKUP 1K,4,1024,16,70653.0,590.092756,0.99402212863662,0.0,,0.5977871363380016,2
105,DPA IPLOOKUP 1K,5,64,32,141310.0,94.9608232,0.99868920670324,0.0,,0.13107932967599822,0
106,DPA IPLOOKUP 1K,5,64,32,141328.0,94.9729288,0.9986866588202,0.0,,0.1313341179799976,1
107,DPA IPLOOKUP 1K,5,64,32,141319.0,94.966484,0.99869238645269,0.0,,0.1307613547310016,2
108,DPA IPLOOKUP 1K,6,128,32,141326.0,167.3306728,0.99828676837572,0.0,,0.17132316242800538,0
