feature_name,feature_value,feature_value_all,feature_value_name,norm_score,score,type,vis
is_monotonic,is_monotonic_True,N/A,is_monotonic_True,0.027781,11.687182,categorical,histogram
is_monotonic,is_monotonic_True,N/A,is_monotonic_True,0.007813,11.685188,categorical,heatmap
is_lin_space,is_lin_space_False,N/A,is_lin_space_False,0.618215,11.787231,categorical,line
is_lin_space,is_lin_space_False,N/A,is_lin_space_False,0.609358,11.786258,categorical,scatter
is_lin_space,is_lin_space_False,N/A,is_lin_space_False,0.507418,11.775064,categorical,bar
is_lin_space,is_lin_space_False,N/A,is_lin_space_False,1.0,11.829158,categorical,box
is_lin_space,is_lin_space_False,N/A,is_lin_space_False,0.0,11.71934,categorical,histogram
is_lin_space,is_lin_space_False,N/A,is_lin_space_False,0.292674,11.751481,categorical,heatmap
is_log_space,is_log_space_False,N/A,is_log_space_False,0.847104,11.787016,categorical,line
is_log_space,is_log_space_False,N/A,is_log_space_False,1.0,11.803556,categorical,scatter
is_log_space,is_log_space_False,N/A,is_log_space_False,0.848343,11.78715,categorical,bar
is_log_space,is_log_space_False,N/A,is_log_space_False,0.885895,11.791212,categorical,box
is_log_space,is_log_space_False,N/A,is_log_space_False,0.0,11.695381,categorical,histogram
is_log_space,is_log_space_False,N/A,is_log_space_False,0.591641,11.759381,categorical,heatmap
is_only_field,is_only_field_True,N/A,is_only_field_True,0.046238,11.512431,categorical,line
is_only_field,is_only_field_True,N/A,is_only_field_True,0.137789,11.534038,categorical,scatter
is_only_field,is_only_field_True,N/A,is_only_field_True,0.0,11.501518,categorical,bar
is_only_field,is_only_field_True,N/A,is_only_field_True,0.395705,11.594909,categorical,box
is_only_field,is_only_field_True,N/A,is_only_field_True,1.0,11.737529,categorical,histogram
is_only_field,is_only_field_True,N/A,is_only_field_True,0.257589,11.562312,categorical,heatmap
mean,"(-inf, 0.191694)","[0.19169357286826255, 4.191202395962129, 31.850277947456604, 281.8860048355595, 8262.562250976542]",mean_0,1.0,11.603746,continuous,line
mean,"(-inf, 0.191694)","[0.19169357286826255, 4.191202395962129, 31.850277947456604, 281.8860048355595, 8262.562250976542]",mean_0,0.871571,11.591856,continuous,scatter
mean,"(-inf, 0.191694)","[0.19169357286826255, 4.191202395962129, 31.850277947456604, 281.8860048355595, 8262.562250976542]",mean_0,0.0,11.511165,continuous,bar
mean,"(-inf, 0.191694)","[0.19169357286826255, 4.191202395962129, 31.850277947456604, 281.8860048355595, 8262.562250976542]",mean_0,0.370578,11.545474,continuous,box
mean,"(-inf, 0.191694)","[0.19169357286826255, 4.191202395962129, 31.850277947456604, 281.8860048355595, 8262.562250976542]",mean_0,0.449261,11.552758,continuous,histogram
mean,"(-inf, 0.191694)","[0.19169357286826255, 4.191202395962129, 31.850277947456604, 281.8860048355595, 8262.562250976542]",mean_0,0.277581,11.536864,continuous,heatmap
normalized_mean,"(-inf, 0.123359)","[0.12335866319556389, 0.4055944875219176, 0.5259337732099718, 0.6351002664527585, 0.7784608491774527, 0.9896777660615983]",normalized_mean_0,0.758016,11.618966,continuous,line
normalized_mean,"(-inf, 0.123359)","[0.12335866319556389, 0.4055944875219176, 0.5259337732099718, 0.6351002664527585, 0.7784608491774527, 0.9896777660615983]",normalized_mean_0,0.793392,11.622174,continuous,scatter
normalized_mean,"(-inf, 0.123359)","[0.12335866319556389, 0.4055944875219176, 0.5259337732099718, 0.6351002664527585, 0.7784608491774527, 0.9896777660615983]",normalized_mean_0,0.0,11.550235,continuous,bar
normalized_mean,"(-inf, 0.123359)","[0.12335866319556389, 0.4055944875219176, 0.5259337732099718, 0.6351002664527585, 0.7784608491774527, 0.9896777660615983]",normalized_mean_0,0.676005,11.61153,continuous,box
normalized_mean,"(-inf, 0.123359)","[0.12335866319556389, 0.4055944875219176, 0.5259337732099718, 0.6351002664527585, 0.7784608491774527, 0.9896777660615983]",normalized_mean_0,1.0,11.640908,continuous,histogram
normalized_mean,"(-inf, 0.123359)","[0.12335866319556389, 0.4055944875219176, 0.5259337732099718, 0.6351002664527585, 0.7784608491774527, 0.9896777660615983]",normalized_mean_0,0.664393,11.610477,continuous,heatmap
median,"(-inf, 0.110301)","[0.11030144243110573, 5.251452979118592, 30.791238223660386, 273.1241935483871, 10816.114516129033]",median_0,1.0,11.615693,continuous,line
median,"(-inf, 0.110301)","[0.11030144243110573, 5.251452979118592, 30.791238223660386, 273.1241935483871, 10816.114516129033]",median_0,0.871333,11.60532,continuous,scatter
median,"(-inf, 0.110301)","[0.11030144243110573, 5.251452979118592, 30.791238223660386, 273.1241935483871, 10816.114516129033]",median_0,0.0,11.53507,continuous,bar
median,"(-inf, 0.110301)","[0.11030144243110573, 5.251452979118592, 30.791238223660386, 273.1241935483871, 10816.114516129033]",median_0,0.435117,11.570151,continuous,box
